X,Y,wkt_geom,fid,UUID,MS_CD,EU_CD,VISS_MS_CD,SJONAMN,SJOID,CATEGORY,HARO,DAROID_UT,DISTRICT,COMP_AUTH,COUNTRY,WB,VERSION,URL_VISS,SHAPE_Leng,GVatten,G_EU_CD,G_MS_CD,centroid_x,centroid_y
13.85042195,64.7544735,Point (445295.33486752718454227 7181587.86846177745610476),5416,SEF2EF07FC-DB83-4B1A-83A8-6D852AE39679,WA87303453,SE718153-445101,SE718153-445101,Raudekvattnet,718493-140724,LW,38000,718237-445174,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA87303453,1710.544002,Y,NO718153-445101,307-39225-L,445295,7181588
15.29808206,64.72091403,Point (514202.82206721836701035 7177384.85746777895838022),5399,SE72416B4A-CD66-421B-86AD-34D1E57C8648,WA87926226,SE717978-147533,SE717978-147533,Kalvtjärnarna,717978-147533,LW,38000,717989-147631,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA87926226,2094.012499,N,,,514203,7177385
21.13243685,64.62734537,Point (792853.35998281487263739 7181103.13483494613319635),5398,SE29394183-0B87-4A6B-96EC-72B290274C74,WA78404177,SE717975-175523,SE717975-175523,Bursjön,717975-175523,LW,21000,717982-175401,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA78404177,6015.543592,N,,,792853,7181103
21.01857497,64.62048092,Point (787500.90949891204945743 7179819.32647477090358734),5397,SE380DA036-236F-465B-81DB-1288FC614AAB,WA91513901,SE717947-174912,SE717947-174912,Falmarksträsket,717947-174912,LW,21000,717896-174800,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA91513901,22109.65924,N,,,787501,7179819
19.5930266,64.66841405,Point (719124.40158790408167988 7179445.3690545167773962),5396,SEEA6ED446-6776-4F01-91B3-C044B68257BA,WA69536375,SE717918-168192,SE717918-168192,Järvträsket,717918-168192,LW,24000,718010-167991,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA69536375,5832.649085,N,,,719124,7179445
14.78603477,64.71299246,Point (489802.0204966725432314 7176486.40988199785351753),5395,SED3D7D160-5861-429E-A334-5CCE28240B1C,WA42703361,SE717913-145144,SE717913-145144,Tjoelejaevrie,717913-145144,LW,38000,717886-145168,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA42703361,1583.647478,N,,,489802,7176486
19.80115129,64.65867162,Point (729120.73540441272780299 7179098.02314578276127577),5394,SEA8E24ACF-EDE0-43CE-87E5-802353F2A8DB,WA81591020,SE717873-169132,SE717873-169132,Kalvträsket,717873-169132,LW,24000,717885-169081,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA81591020,6844.381648,N,,,729121,7179098
20.30302956,64.64475841,Point (753159.65952986897900701 7179461.91381621360778809),5393,SEE09502B2-E7A2-4CFC-8240-BB70FB1296C3,WA77699874,SE717870-171521,SE717870-171521,Tvärträsket,717870-171521,LW,21000,717848-171418,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA77699874,1711.477589,N,,,753160,7179462
16.67685843,64.7076407,Point (579930.90558959892950952 7176930.055346904322505),5392,SE5418703D-4607-46D4-8051-8D70DD42BC14,WA25741572,SE717858-154047,SE717858-154047,Aronsjön,717858-154047,LW,38000,717765-154243,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA25741572,5990.051897,N,,,579931,7176930
15.28554551,64.72621496,Point (513603.30272413039347157 7177972.59863242506980896),5407,SE6BEABDD4-F751-45DA-9657-017EFB891420,WA41678527,SE718062-147503,SE718062-147503,Kalvtjärnarna,718062-147503,LW,38000,718056-147538,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA41678527,1950.810814,N,,,513603,7177973
