Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Lilla Öresjön,SE638665-129243,WA89076362,Sjö,Sjöar och Vattendrag,Södra Sverige,12.33679175,57.55726646
Stora Härsjön,SE640364-129240,WA75449417,Sjö,Sjöar och Vattendrag,Södra Sverige,12.32172018,57.7095249
Svinarydsjön,SE622803-144609,WA43427014,Sjö,Sjöar och Vattendrag,Södra Sverige,14.93721179,56.17746481
Sännen,SE624421-147234,WA21863308,Sjö,Sjöar och Vattendrag,Södra Sverige,15.35816369,56.32501995
Trehörningen,SE626238-148299,WA10469843,Sjö,Sjöar och Vattendrag,Södra Sverige,15.52911597,56.48869841
Brunnsjön,SE627443-149526,WA13784515,Sjö,Sjöar och Vattendrag,Södra Sverige,15.72807059,56.59720281
Tomeshultagölen,SE629026-147562,WA37237278,Sjö,Sjöar och Vattendrag,Södra Sverige,15.40684797,56.73873841
Hinnasjön,SE630605-144655,WA52131288,Sjö,Sjöar och Vattendrag,Södra Sverige,14.92857653,56.87810012
Storasjö,SE631360-146750,WA93641753,Sjö,Sjöar och Vattendrag,Södra Sverige,15.27118614,56.94783586
Krageholmssjön,SE615375-137087,WA92239891,Sjö,Sjöar och Vattendrag,Södra Sverige,13.76198963,55.49631056
Lillesjö,SE623161-142148,WA93220370,Sjö,Sjöar och Vattendrag,Södra Sverige,14.53998621,56.2061939
Bäen,SE623624-141149,WA93163816,Sjö,Sjöar och Vattendrag,Södra Sverige,14.37752741,56.24600455
Örsjön,SE624038-143063,WA49933782,Sjö,Sjöar och Vattendrag,Södra Sverige,14.68510196,56.28636014
Fiolen,SE633025-142267,WA60899891,Sjö,Sjöar och Vattendrag,Södra Sverige,14.52958559,57.09198875
Gyslättasjön,SE633209-141991,WA14574773,Sjö,Sjöar och Vattendrag,Södra Sverige,14.48348553,57.10804046
Stora Skärsjön,SE633738-142203,WA54145176,Sjö,Sjöar och Vattendrag,Södra Sverige,14.51680635,57.15589326
Havgårdssjön,SE615365-134524,WA56806681,Sjö,Sjöar och Vattendrag,Södra Sverige,13.35687085,55.4879764
Krankesjön,SE617797-135339,WA94704410,Sjö,Sjöar och Vattendrag,Södra Sverige,13.47275316,55.708743
